"","doi","title"
"1",NA,"the types of the folktale. a classification and bibliography"
"2",NA,"cultural complexity and demography: the case of folktales"
"3",NA,"kaiser und abt: die geschichte eines schwankes"
"4",NA,"the cultural evolution of language"
"5","10.1163/156853701300063589","spreading non-natural concepts: the role of intuitive conceptual structures in memory and transmission of cultural materials"
"6",NA,"some experiments on the reproduction of folk-stories"
"7",NA,"peopling of the new world in light of the data on distribution of folklore motifs"
"9","10.1017/ehs.2021.37","prestige and content biases together shape the cultural transmission of narratives"
"10",NA,"essays on cultural transmission"
"11","10.1073/pnas.1614395114","inferring patterns of folktale diffusion using genomic data"
"12",NA,"fairy tales: a new history"
"13",NA,"cultural evolution of craft traditions"
"14",NA,"cultural transmission and evolution: a quantitative approach"
"15",NA,"a phylogenetic approach to mythology and its archaeological consequences"
"16",NA,"polyphemus, a palaeolithic tale?"
"17",NA,"the selfish gene"
"18",NA,"little red riding hood: a casebook"
"19",NA,"the golden bough; a study in magic and religion"
"20","10.1098/rsos.150645","comparative phylogenetic analyses uncover the ancient roots of indo-european folktales"
"21",NA,"language phylogenies"
"22",NA,"preface (m"
"23",NA,"the historic-geographic method: past and future"
"24",NA,"interpretation of fairy tales: danish folklore in a european perspective"
"25","10.1371/journal.pbio.1001069","phylomemetics—evolutionary analysis beyond the gene"
"26",NA,"manuscript traditions"
"27",NA,"bayesian inference of phylogeny and its impact on evolutionary biology"
"28",NA,"application of phylogenetic networks in evolutionary studies"
"29",NA,"a look ahead in oral literature research"
"30",NA,"cultural entrenchment of folktales is encoded in language"
"31",NA,"the structure and evolution of story networks"
"32",NA,"cladistics. reference module in life sciences"
"33",NA,"folklore methodology"
"34",NA,"cultural evolution: how darwinian theory can explain human culture and synthesize the social sciences"
"35",NA,"experimental studies of cultural evolution"
"36",NA,"a bias for social information in human cultural transmission"
"37",NA,"cultural attraction theory"
"38",NA,"systematic quantitative analyses reveal the folk-zoological knowledge embedded in folktales"
"39","10.1207/s15516709cog0000_68","memory and mystery: the cultural selection of minimally counterintuitive narratives"
"40",NA,"frequency of word-use predicts rates of lexical evolution throughout indo-european history"
"41",NA,"inference of population structure using multilocus genotype data"
"42",NA,"the cinderella cycle"
"43","10.1016/j.evolhumbehav.2015.08.001","folktale transmission in the arctic provides evidence for high bandwidth social learning among hunter-gatherer groups"
"44","10.1098/rspb.2012.3065","population structure and cultural geography of a folktale in europe"
"45",NA,"memory in oral traditions: the cognitive psychology of epic, ballads, and counting-out rhymes"
"46",NA,"information transmission and the oral tradition: evidence of a late-life service niche for tsimane amerindians"
"47",NA,"the works of sir walter scott"
"48",NA,"cooperation and the evolution of hunter-gatherer storytelling"
"49",NA,"explaining culture: a naturalistic approach"
"50",NA,"conspiracy theories: a cultural evolution theory approach"
"51",NA,"cognitive evolution and the transmission of popular narratives: a literature review and application to urban legends"
"52",NA,"expect the unexpected? testing for minimally counterintuitive (mci) bias in the transmission of contemporary legends: a computational phylogenetic approach"
"53",NA,"serial killers, spiders and cybersex social and survival information bias in the transmission of urban legends"
"54",NA,"food, foragers, and folklore: the role of narrative in human subsistence"
"55",NA,"oral storytelling as evidence of pedagogy in forager societies"
"56",NA,"selected papers on folklore"
"57",NA,"oral fairy tale or literary fake? investigating the origins of little red riding hood using phylogenetic network analysis"
"58","10.1371/journal.pone.0078871","the phylogeny of little red riding hood"
"59",NA,"the folktale"
"60",NA,"a descriptive nomenclature for the study of folklore. part i: the process of tradition"
"61",NA,"primitive culture: researches into the development of mythology, philosophy, religion, art, and custom"
"62",NA,"the types of international folktales. a classification and bibliography"
"63",NA,"the transmission of kapsiki-higi folktales over two generations"
"64",NA,"embers of society: firelight talk among the ju/’hoansi bushmen"
"65",NA,"the origins of the world’s mythologies"
"66",NA,"why fairy tales stick: the evolution and relevance of a genre"
"67",NA,"is acctran better than deltran?"
"68",NA,"cultural macroevolution of musical instruments in south america"
"69",NA,"homoplasy excess ratios: new indices for measuring levels of homoplasy in phylogenetic systematics and a critique of the consistency index"
"70",NA,"measures of homoplasy"
"71",NA,"polyphonies et polyrythmies instrumentales d'afrique centrale"
"72",NA,"systèmes musicaux en afrique subsaharienne"
"73",NA,"changing language, remaining pygmy"
"74",NA,"art rupestre en ennedi"
"75",NA,"caractère"
"76",NA,"rooting with multiple outgroups: consensus versus parsimony"
"77",NA,"on cladistic reconstruction of linguistic trees through vowel data"
"78",NA,"evolution of initiation rites during the austronesian dispersal"
"79",NA,"reconstructing african music history: methods and results"
"81",NA,"philosophical foundations of classical evolutionary classification"
"82",NA,"cultural macroevolution and the transmission of traits"
