id,type,to_keep,authors_clean,year,title,source
W2314170853,article,1,"William A. Lessa, Antti Aarne, Stith Thompson",1963,The types of the folktale. A classification and bibliography,Journal Of American Folklore
W2601059672,article,1,"Alberto Acerbi, Jeremy Kendal, Jamshid J. Tehrani",2017,Cultural complexity and demography: the case of folktales,Evolution And Human Behavior
W2130938799,review,0,Luc Steels,2011,Modeling the cultural evolution of language,Physics Of Life Reviews
W2037408089,article,1,"Justin L. Barrett, Melanie Nyhof",2001,Spreading non-natural concepts: the role of intuitive conceptual structures in memory and transmission of cultural materials,Journal Of Cognition And Culture
W1989481016,article,1,F. C. Bartlett,1920,Some experiments on the reproduction of folk-stories,Folklore
W2729781689,article,1,Julien d’Huy,2015,"Une nouvelle méthode, rapide et efficace, pour reconstruire les premières migrations de l'humanité.",Hal (Le Centre Pour La Communication Scientifique Directe)
W3061844338,article,1,"Richard E. W. Berl, Alarna N. Samarasinghe, Seán G. Roberts, Fiona M. Jordan, Michael C. Gavin",2021,Prestige and content biases together shape the cultural transmission of narratives,Evolutionary Human Sciences
W2778361668,article,1,Maurice Bloch,2005,Essays in cultural transmission,London School Of Economics And Political Science Research Online (London School Of Economics And Political Science)
W2743892190,article,1,"Eugenio Bortolini, Luca Pagani, Enrico R. Crema, Stefania Sarno, Chiara Barbieri, Alessio Boattini, Marco Sazzini, Sara Graça da Silva, Gessica Martini, Mait Metspalu, Davide Pettener, Donata Luiselli, Jamshid J. Tehrani",2017,Inferring patterns of folktale diffusion using genomic data,Proceedings Of The National Academy Of Sciences
W4249310055,article,1,list(,2009,Fairy tales: a new history,Choice Reviews Online
W2595248631,article,0,G.Ainsworth Harrison,1982,Cultural transmission and evolution: a quantitative approach,Endeavour
W341413517,article,1,Julien d’Huy,2013,A phylogenetic approach of mythology and its archaeological consequences.,Hal (Le Centre Pour La Communication Scientifique Directe)
W2611471796,article,1,Julien d’Huy,2015,Polyphemus: a palaeolithic tale?,Hal (Le Centre Pour La Communication Scientifique Directe)
W1983724496,article,0,Alan Dundes,1990,Little red riding hood: a casebook,Choice Reviews Online
W1983940011,article,1,James George Frazer,1901,The golden bough: a study in magic and religion,Nature
W2283078002,article,1,"Sara Graça da Silva, Jamshid J. Tehrani",2016,Comparative phylogenetic analyses uncover the ancient roots of indo-european folktales,Royal Society Open Science
W1969113544,article,0,"Russell D. Gray, Alexei J. Drummond, Simon J. Greenhill",2009,Language phylogenies reveal expansion pulses and pauses in pacific settlement,Science
W2017352677,article,0,"D. Maxwell Parkin, Freddie Bray, Jacques Ferlay, Paola Pisani",2001,Estimating the world cancer burden: globocan 2000,International Journal Of Cancer
W2047134449,article,0,"Alan Dundes, Bengt Holbek",1991,Interpretation of fairy tales: danish folklore in a european perspective,Journal Of American Folklore
W1980224036,article,1,"Christopher J. Howe, Heather F. Windram",2011,Phylomemetics—evolutionary analysis beyond the gene,Plos Biology
W2083232024,article,1,"William V. Harris, John M. Moore",1966,The manuscript tradition of polybius,The Classical World
W2315958726,article,0,Melville Jacobs,1966,A look ahead in oral literature research,Journal Of American Folklore
W2919424406,article,1,"Folgert Karsdorp, Lauren Fonteyn",2019,Cultural entrenchment of folktales is encoded in language,Palgrave Communications
W2472926939,article,1,"Folgert Karsdorp, Antal van den Bosch",2016,The structure and evolution of story networks,Royal Society Open Science
W4212931754,book,0,Kaarle Krohn,1971,Folklore methodology,University Of Texas Press Ebooks
W582898004,article,0,Alex Mesoudi,2012,Cultural evolution: how darwinian theory can explain human culture and synthesize the social sciences,Choice Reviews Online
W2017207446,article,0,"Damon Centola, Andrea Baronchelli",2015,The spontaneous emergence of conventions: an experimental study of cultural evolution,Proceedings Of The National Academy Of Sciences
W2047815179,article,0,"Alex Mesoudi, Andrew Whiten, Robin Dunbar",2006,A bias for social information in human cultural transmission,British Journal Of Psychology
W2911775202,review,0,Andrew Buskell,2019,Looking for middle ground in cultural attraction theory,Evolutionary Anthropology Issues News And Reviews
W2962079849,article,1,"Yo Nakawake, Kosuke Sato",2019,Systematic quantitative analyses reveal the folk-zoological knowledge embedded in folktales,Palgrave Communications
W2105687216,article,1,"Ara Norenzayan, Scott Atran, Jason Faulkner, Mark Schaller",2006,Memory and mystery: the cultural selection of minimally counterintuitive narratives,Cognitive Science
W2068064057,article,0,"Mark Pagel, Quentin D. Atkinson, Andrew Meade",2007,Frequency of word-use predicts rates of lexical evolution throughout indo-european history,Nature
W1058108145,article,1,"Robert M. Ross, Quentin D. Atkinson",2015,Folktale transmission in the arctic provides evidence for high bandwidth social learning among hunter–gatherer groups,Evolution And Human Behavior
W2108767500,article,1,"Robert M. Ross, Simon J. Greenhill, Quentin D. Atkinson",2013,Population structure and cultural geography of a folktale in europe,Proceedings Of The Royal Society B Biological Sciences
W1527864504,article,1,David C. Rubin,1995,"Memory in oral traditions: the cognitive psychology of epic, ballads, and counting-out rhymes",Choice Reviews Online
W2766391979,article,1,"Eric Schniter, Nathaniel T. Wilcox, Bret Beheim, Hillard Kaplan, Michael Gurven",2017,Information transmission and the oral tradition: evidence of a late-life service niche for tsimane amerindians,Evolution And Human Behavior
